"date";"server";"position";"name";"race";"points"
"2025-12-31";"R1";"194";"shakuras";"CAPTEUR D’ESPRIT";"41708"
"2025-12-31";"R1";"195";"Bloodgunn";"ABSORBEUR";"39860"
"2025-12-31";"R1";"196";"DevilMayCry";"DAMNÉ";"39667"
"2025-12-31";"R1";"197";"bagghera63";"CULTISTE";"39356"
"2025-12-31";"R1";"198";"zbougalou";"ABSORBEUR";"39261"
"2025-12-31";"R1";"199";"zae";"CAPTEUR D’ESPRIT";"39200"
"2025-12-31";"R1";"200";"Hillen";"ABSORBEUR";"37516"
"2025-12-31";"R2";"1";"burns";"CAPTEUR D’ESPRIT";"209023027"
"2025-12-31";"R2";"2";"Mugenn";"CAPTEUR D’ESPRIT";"209001563"
"2025-12-31";"R2";"3";"Agon";"CAPTEUR D’ESPRIT";"173303703"
"2025-12-31";"R2";"4";"darkgui";"CAPTEUR D’ESPRIT";"166230524"
"2025-12-31";"R2";"5";"Aidreon";"CAPTEUR D’ESPRIT";"155437156"
"2025-12-31";"R2";"6";"Nicci";"CAPTEUR D’ESPRIT";"148932693"
"2025-12-31";"R2";"7";"iop";"CAPTEUR D’ESPRIT";"147114509"
"2025-12-31";"R2";"8";"juge";"CAPTEUR D’ESPRIT";"140287630"
"2025-12-31";"R2";"9";"nausee";"CAPTEUR D’ESPRIT";"129460827"
"2025-12-31";"R2";"10";"Wolfy";"CAPTEUR D’ESPRIT";"122240063"
"2025-12-31";"R2";"11";"Hitsu005";"CAPTEUR D’ESPRIT";"108365469"
"2025-12-31";"R2";"12";"end_die";"CAPTEUR D’ESPRIT";"102278216"
"2025-12-31";"R2";"13";"Glaucos";"CAPTEUR D’ESPRIT";"101774950"
"2025-12-31";"R2";"14";"Ellundril Chariakin";"CAPTEUR D’ESPRIT";"91193322"
"2025-12-31";"R2";"15";"Velerynne";"CAPTEUR D’ESPRIT";"90538338"
"2025-12-31";"R2";"16";"constantina";"CAPTEUR D’ESPRIT";"88896537"
"2025-12-31";"R2";"17";"PARANOÏA";"ABSORBEUR";"88834859"
"2025-12-31";"R2";"18";"zebecasse";"CAPTEUR D’ESPRIT";"81094089"
"2025-12-31";"R2";"19";"Hoffnung";"ABSORBEUR";"80786088"
"2025-12-31";"R2";"20";"Akhasha";"SEIGNEUR DES BÊTES";"79648458"
"2025-12-31";"R2";"21";"Aka";"CAPTEUR D’ESPRIT";"78627597"
"2025-12-31";"R2";"22";"villot";"CAPTEUR D’ESPRIT";"76752854"
"2025-12-31";"R2";"23";"Chani";"ABSORBEUR";"73994305"
"2025-12-31";"R2";"24";"Ellanna";"CAPTEUR D’ESPRIT";"68031259"
"2025-12-31";"R2";"25";"Mini-pouce";"ABSORBEUR";"59511726"
"2025-12-31";"R2";"26";"sheus";"CULTISTE";"58741146"
"2025-12-31";"R2";"27";"Esteras";"CAPTEUR D’ESPRIT";"55258586"
"2025-12-31";"R2";"28";"MORISSE";"CULTISTE";"46786633"
"2025-12-31";"R2";"29";"OPI2candy";"CULTISTE";"46242750"
"2025-12-31";"R2";"30";"Tehani";"DAMNÉ";"45085604"
"2025-12-31";"R2";"31";"xsatyr";"ABSORBEUR";"44328243"
"2025-12-31";"R2";"32";"Ñëmêsyà";"CAPTEUR D’ESPRIT";"39988239"
"2025-12-31";"R2";"33";"Trex";"SEIGNEUR DES BÊTES";"38734115"
"2025-12-31";"R2";"34";"bloodeur";"CAPTEUR D’ESPRIT";"37397387"
"2025-12-31";"R2";"35";"zalior";"DAMNÉ";"37368529"
"2025-12-31";"R2";"36";"Lleya";"DAMNÉ";"34916013"
"2025-12-31";"R2";"37";"Koreus";"CULTISTE";"34704704"
"2025-12-31";"R2";"38";"Agahnim";"CAPTEUR D’ESPRIT";"30125588"
"2025-12-31";"R2";"39";"OYA";"CAPTEUR D’ESPRIT";"24449881"
"2025-12-31";"R2";"40";"thana-thos";"DAMNÉ";"21543417"
"2025-12-31";"R2";"41";"Ethantra Tarthsemmer";"ABSORBEUR";"20991084"
"2025-12-31";"R2";"42";"petitjesus";"SEIGNEUR DES BÊTES";"14257215"
"2025-12-31";"R2";"43";"DOUDOU";"CULTISTE";"14032274"
"2025-12-31";"R2";"44";"Berny";"ABSORBEUR";"12794439"
"2025-12-31";"R2";"45";"cocobiker";"ABSORBEUR";"12661450"
"2025-12-31";"R2";"46";"Elvi";"DAMNÉ";"11986342"
"2025-12-31";"R2";"47";"DarkSwOrD";"DAMNÉ";"9713789"
"2025-12-31";"R2";"48";"djebel red";"DAMNÉ";"9438141"
"2025-12-31";"R2";"49";"Glen";"DAMNÉ";"9377274"
"2025-12-31";"R2";"50";"angenaja";"CULTISTE";"8546008"
"2025-12-31";"R2";"51";"lestat";"DAMNÉ";"8478877"
"2025-12-31";"R2";"52";"Yopnico";"ABSORBEUR";"6312102"
"2025-12-31";"R2";"53";"vivinou";"CAPTEUR D’ESPRIT";"5984458"
"2025-12-31";"R2";"54";"Zora la mousse";"ABSORBEUR";"5238795"
"2025-12-31";"R2";"55";"Kak";"ABSORBEUR";"4805472"
"2025-12-31";"R2";"56";"Bobus Sanctus";"ABSORBEUR";"4635851"
"2025-12-31";"R2";"57";"GTH";"CAPTEUR D’ESPRIT";"4485472"
"2025-12-31";"R2";"58";"dgestar";"DAMNÉ";"4108510"
"2025-12-31";"R2";"59";"Talysker";"CAPTEUR D’ESPRIT";"4044700"
"2025-12-31";"R2";"60";"Charlotte Katakuri";"ABSORBEUR";"3851342"
"2025-12-31";"R2";"61";"FlashMarcelSatan";"CAPTEUR D’ESPRIT";"3729239"
"2025-12-31";"R2";"62";"T3rr4";"SEIGNEUR DES BÊTES";"2941343"
"2025-12-31";"R2";"63";"Trafalgar D WaterLaw";"ABSORBEUR";"2641428"
"2025-12-31";"R2";"64";"satan2017";"ABSORBEUR";"2570153"
